#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1770,17475.169921875,4953.72265367955,22428.89257555455,198.69797891830646
1780,18172.990234375,4793.671230851207,22966.661465226207,192.2781818359306
1790,18446.41796875,4927.6527887312695,23374.07075748127,197.6522947252181
1800,17417.10546875,4872.980626450677,22290.086095200677,195.45934834777438
1810,18711.3515625,4790.44451629743,23501.79607879743,192.14875560333653
1820,17437.013671875,4846.0832887997385,22283.09696067474,194.3804735291458
1830,18053.62890625,4896.289901566692,22949.91880781669,196.39430296259576
1840,18008.708984375,4845.144688582746,22853.853672957746,194.3428254856103
1850,17414.556640625,4957.960617786273,22372.517258411273,198.86796722035822
1860,18405.740234375,4814.1743956860155,23219.914630061015,193.10058100902106
1870,17358.97265625,4929.659870895557,22288.632527145557,197.73280047764868
1880,18711.1796875,4897.233304697787,23608.412992197787,196.43214365505253
1890,17525.9765625,4845.324445331469,22371.30100783147,194.35003567987533
1900,18660.73046875,4811.415877537802,23472.146346287802,192.9899345277425
1910,17507.404296875,4843.528655299218,22350.93295217422,194.2780050324379
1920,18945.80078125,4838.012368993834,23783.813150243834,194.05674215265185
1930,18021.4375,4972.934340598062,22994.37184059806,199.46857582677168
1940,17257.09765625,5054.498238215223,22311.595894465223,202.74017230930622
1950,17616.060546875,4901.589656185359,22517.65020306036,196.6068805744469
1960,17776.95703125,4907.456648638472,22684.413679888472,196.8422105725639
1970,17615.84765625,4914.332171276445,22530.179827526445,197.11799356399914
1980,17478.6015625,4941.261054416187,22419.862616916187,198.19813369869556
1990,17759.171875,4932.630994857289,22691.80286985729,197.8519747567887
2000,17355.6796875,4957.92215271201,22313.60184021201,198.86642435390215
2010,17707.3359375,5068.291082786862,22775.62702028686,203.29341489705652
2020,17549.115234375,4811.434375273995,22360.549609648995,192.99067648748735
2030,18126.53515625,4927.033384224866,23053.568540474866,197.62744988989732
2040,17402.388671875,4944.703755430877,22347.092427305877,198.33622332975935
2050,18008.6640625,4989.115331645124,22997.779394145124,200.11760897673182
2060,17488.724609375,4903.110920793144,22391.835530168144,196.66789977638837
2070,17678.697265625,4838.306226205081,22517.00349183008,194.0685290123627
2080,18003.513671875,4849.025201706216,22852.538873581216,194.4984761283096
2090,17614.17578125,4972.155217798427,22586.330999048427,199.43732455647668
2100,17562.04296875,4837.241742343642,22399.28471109364,194.02583167005147
2110,17837.75390625,4923.4471784429625,22761.201084692962,197.4836041620143
2120,17646.783203125,4997.949657303281,22644.73286042828,200.4719612035522
2130,17453.6953125,4904.808219955303,22358.503532455303,196.73597987225125
2140,17769.4296875,4908.466132484609,22677.89581998461,196.8827018180375
2150,17523.126953125,4994.403061277466,22517.530014402466,200.32970425627525
2160,17398.5625,4929.60282489378,22328.16532489378,197.73051231457399
2170,17687.646484375,4916.63451672392,22604.28100109892,197.2103425748678
2180,17714.62890625,4926.416159810964,22641.045066060964,197.60269249991907
2190,17699.642578125,4885.883114352822,22585.525692477822,195.97687798122487
2200,17899.68359375,4907.606661822647,22807.290255572647,196.8482277274574
2210,17530.728515625,4968.9302173503675,22499.658732975367,199.3079670781035
2220,17518.03515625,4865.335383726284,22383.370539976284,195.15269123677353
2230,17669.673828125,4970.473501700908,22640.147329825908,199.36986951043303
2240,17753.4765625,4943.260379861109,22696.73694236111,198.27832832259338
2250,17333.2734375,5012.982704863884,22346.256142363884,201.07494937549916
2260,17722.265625,4995.073266373831,22717.33889137383,200.35658674595388
2270,17645.435546875,5038.763238135725,22684.198785010725,202.10902823188127
2280,18086.51171875,4950.526405953802,23037.038124703802,198.56977473579
2290,17573.08203125,5011.860766297206,22584.942797547206,201.0299474766739
2300,17529.39453125,5059.836184272543,22589.230715522543,202.9542818118591
2310,18257.248046875,4993.052164614666,23250.300211489666,200.27551865579025
2320,19743.92578125,4925.155765440315,24669.081546690315,197.5521370224335
2330,39553.21875,33888.67881914321,73441.89756914321,1359.3033886492924
2340,50213.84375,84262.3555026818,134476.1992526818,3379.8338961997492
2350,184322.65625,84732.48252958222,269055.1387795822,3398.6910863596786
2360,616224.3125,60543.86849641055,676768.1809964105,2428.465448544408
2370,1831173.125,83994.43605289422,1915167.5610528942,3369.087421900031
2380,276309.125,65091.70770682953,341400.83270682953,2610.883101435101
2390,125081.9921875,141148.52764956094,266230.51983706094,5661.586070110398
2400,172461.0,166256.3645949494,338717.3645949494,6668.682511481296
2410,156636.25,159623.48485720716,316259.73485720716,6402.632130699759
2420,121843.7421875,178017.48701150715,299861.22919900715,7140.431016061985
2430,4334281.5,142453.8159083631,4476735.315908363,5713.942279180184
2440,1391719424.0,65236099.11879345,1456955523.1187935,2616674.762320492
2450,59336655110144.0,21731011662730.37,81067666772874.38,871649141283.1509
2460,2.0480321770225664e+16,511578243202878.1,2.0991900013428544e+16,20519833282851.633
2470,8.915842723374694e+16,847203561626844.0,9.00056307953738e+16,33982046875919.902
2480,2.0867725672841216e+17,1142956857289154.5,2.098202135857013e+17,45844960126196.29
2490,3.790875918000456e+17,1438662203679956.0,3.805262540037255e+17,57705950090894.23
2500,6.003902484924334e+17,1734338187923387.2,6.021245866803567e+17,69565762315184.19
2510,8.725848660283228e+17,2029996578664805.0,8.746148626069876e+17,81424868849322.2
2520,1.1956713413284987e+18,2325651376685246.0,1.197996992705184e+18,93283831276402.39
2530,1.56964864360081e+18,2621296936417265.0,1.5722699405372273e+18,105142423147969.78
2540,1.9945175287595008e+18,2916938649618153.0,1.997434467409119e+18,117000860731940.78
2550,2.470277996804571e+18,3212574930544991.5,2.4734905717351163e+18,128859080422834.17
2560,2.996930322613928e+18,3508210510227428.0,3.0004385331241554e+18,140717271986225.22
2570,3.5744801411846636e+18,3796536091868005.0,3.5782766772765317e+18,152282253384583.06
2580,4.2032204723655803e+18,3931416364503194.0,4.2071518887300833e+18,157692414478009.5
2590,4.883581500081046e+18,4084485304566837.0,4.887665985385612e+18,163832138308374.1
2600,5.61520698256366e+18,4283741894687762.0,5.619490724458348e+18,171824487600228.97
2610,6.397242324400734e+18,4513100854134382.0,6.401755425254869e+18,181024268224805.94
2620,7.230603418778206e+18,4766680561419363.0,7.235370099339625e+18,191195563401130.72
